Drug Name,Drug ID,Cell Line Name,Cosmic ID,TCGA Classification,Tissue,Tissue Sub-type,IC50,AUC,Max Conc,RMSE,Z score,Dataset Version
Vorinostat,1012,SNU-387,909736,LIHC,digestive_system,liver,2.31940731684796,0.833405932419748,10,0.0674280501703625,0.762823329998344,GDSC2
Vorinostat,1012,SNU-423,909737,LIHC,digestive_system,liver,2.14203512330486,0.834204201955231,10,0.0957377961627483,0.600177647160491,GDSC2
Vorinostat,1012,SNU-449,909738,LIHC,digestive_system,liver,2.30927683012808,0.803469391993952,10,0.0965697567575702,0.753533937466617,GDSC2
Vorinostat,1012,C3A,910850,LIHC,digestive_system,liver,1.64410529838874,0.765688957254124,10,0.164895760578912,0.143588963438009,GDSC2
Vorinostat,1012,Hep3B2-1-7,1240147,LIHC,digestive_system,liver,1.05792405721425,0.780515271801286,10,0.108590460576723,-0.393923970991572,GDSC2
Vorinostat,1012,JHH-2,1240157,LIHC,digestive_system,liver,1.59375046019455,0.793602313467198,10,0.143995513468531,0.0974148880168033,GDSC2
Vorinostat,1012,JHH-4,1240158,LIHC,digestive_system,liver,2.3630202614549,0.846784559758018,10,0.109815777196359,0.80281526455398,GDSC2
Vorinostat,1012,JHH-6,1240159,LIHC,digestive_system,liver,2.07186525735147,0.808754325233933,10,0.0705677893302335,0.535833707252816,GDSC2
Vorinostat,1012,JHH-7,1240160,LIHC,digestive_system,liver,2.98535458768712,0.880709757335391,10,0.0794706949241346,1.37347963658181,GDSC2
Vorinostat,1012,SNU-398,1240217,LIHC,digestive_system,liver,2.26009828253437,0.857756141530153,10,0.0735052386396753,0.708438489896314,GDSC2
Vorinostat,1012,huH-1,1298146,LIHC,digestive_system,liver,1.98513511038777,0.814748462792844,10,0.129577677165228,0.456304420876197,GDSC2
Vorinostat,1012,JHH-1,1298151,LIHC,digestive_system,liver,0.318590815927572,0.669287088142766,10,0.178558011145298,-1.07187330155884,GDSC2
Nilotinib,1013,HLE,907057,LIHC,digestive_system,liver,4.46879059772567,0.989943069661179,10,0.0209793559611607,0.647332584883173,GDSC2
Nilotinib,1013,HuH-7,907071,LIHC,digestive_system,liver,4.9954911204169,0.988121448512588,10,0.0354861587300377,0.955997084917765,GDSC2
Nilotinib,1013,SK-HEP-1,909719,LIHC,digestive_system,liver,0.965943186928361,0.891677420141266,10,0.205727310659538,-1.40545566606952,GDSC2
Nilotinib,1013,SNU-387,909736,LIHC,digestive_system,liver,5.44959753329609,0.985218432589396,10,0.033115703389746,1.22211895656061,GDSC2
Nilotinib,1013,SNU-423,909737,LIHC,digestive_system,liver,5.03386181707936,0.986502419619652,10,0.0740179225165501,0.978483624024997,GDSC2
Nilotinib,1013,SNU-449,909738,LIHC,digestive_system,liver,4.39670953750625,0.955656831407955,10,0.0573073257394259,0.605090621080089,GDSC2
