sample,ploidy,cellularity
HRR226936,1.96,1
HRR226937,2,1
HRR226938,2,1
HRR226939,2,1
HRR226940,2,1
HRR226941,3.04,1
HRR226942,2.96,1
HRR226943,1.96,1
HRR226944,2,1
HRR226945,3.96,1
HRR226946,4.96,1
HRR226947,2,1
HRR226948,2,1
HRR226949,2,1
HRR226950,2,1
HRR226951,2,1
HRR226952,2,1
HRR226953,2,1
HRR226954,2,1
HRR226955,2,1
HRR226956,2,1
HRR226957,2,1
HRR226958,2,1
HRR226959,2,1
HRR226960,2,1
HRR226961,2,1
HRR226962,2,1
HRR226963,2,1
HRR226964,2,1
HRR226965,2,1
HRR226966,2,1
HRR226967,2,1
HRR226968,2,1
HRR226969,2,1
HRR226970,2,1
HRR226971,2,1
HRR226972,2,1
HRR226973,2,1
HRR226974,1.96,1
HRR226975,2,1
HRR226976,2,1
HRR226977,2,1
HRR226978,2,1
HRR226979,2,1
HRR226980,2,1
HRR226981,2,1
HRR226982,2,1
HRR226983,2,1
HRR226984,2,1
HRR226985,2,1
HRR226986,2,1
HRR226987,2,1
HRR226988,2,1
HRR226989,2,1
HRR226990,2,1
HRR226991,2,1
HRR226992,2,1
HRR226993,2,1
HRR226994,2,1
HRR226995,2,1
HRR226996,2,1
HRR226997,2,1
HRR226998,2,1
HRR226999,2,1
HRR227000,2,1
HRR227001,2,1
HRR227002,2,1
HRR227003,2,1
HRR227004,2,1
HRR227005,4.04,1
HRR227006,2,1
HRR227007,2,1
HRR227008,2,1
HRR227009,2,1
HRR227010,2,1
HRR227011,2,1
HRR227012,2,1
HRR227013,2,1
HRR227014,2,1
HRR227015,3,1
HRR227016,2,1
HRR227017,2,1
HRR227018,2,1
HRR227019,2,1
HRR227020,2,1
HRR227021,2,1
HRR227022,2,1
HRR227023,2,1
HRR227024,2,1
HRR227025,2,1
HRR227026,2,1
HRR227027,2,1
HRR227028,2,1
HRR227029,2,1
HRR227030,2,1
HRR227031,2,1
HRR227032,4.12,1
HRR227033,1.96,1
HRR227034,2.96,1
HRR227035,4.84,1
HRR227036,1.96,1
HRR227037,2,1
HRR227038,4.96,1
HRR227039,4.96,1
HRR227040,3.96,1
HRR227041,3.96,1
HRR227042,1.96,1
HRR227043,1.96,1
HRR227044,2,1
HRR227045,2,1
HRR227046,3.88,1
HRR227047,2,1
HRR227048,2,1
HRR227049,2,1
HRR227050,2,1
HRR227051,1.96,1
HRR227052,2,1
HRR227053,2,1
HRR227054,2.92,1
HRR227055,4,1
HRR227056,4,1
HRR227057,1.96,1
HRR227058,1.96,1
HRR227059,2,1
HRR227060,4.96,1
HRR227061,3.92,1
HRR227062,1.96,1
HRR227063,3,1
HRR227064,3.96,1
HRR227065,1.96,1
HRR227066,2,1
HRR227067,2,1
HRR227068,1.96,1
HRR227069,1.96,1
HRR227070,3.96,1
HRR227071,1.96,1
HRR227072,2,1
HRR227073,3.96,1
HRR227074,2,1
HRR227075,2,1
HRR227076,2,1
HRR227077,2,1
HRR227078,3,1
HRR227079,3.96,1
HRR227080,4.04,1
HRR227081,3.96,1
HRR227082,1.96,1
HRR227083,1.96,1
HRR227084,3,1
HRR227085,4,1
HRR227086,2,1
HRR227087,2,1
HRR227088,2,1
HRR227089,2,1
